loc_x,loc_y,level,type
0,0,5,1
0,2,5,1
2,0,4,1
2,2,5,1
0,5,4,1
0,7,5,1
2,5,3,1
2,7,4,1
0,10,5,1
0,12,5,1
2,10,3,1
2,12,5,1
0,15,5,1
0,17,5,1
2,15,5,1
2,17,3,1
0,20,3,1
0,22,4,1
2,20,3,1
2,22,5,1
0,25,5,1
0,27,3,1
2,25,2,1
2,27,5,1
0,30,5,1
0,32,5,1
2,30,5,1
2,32,4,1
5,0,5,1
5,2,4,1
7,0,5,1
7,2,5,1
5,5,4,1
5,7,4,1
7,5,5,1
7,7,5,1
5,10,3,1
5,12,5,1
7,10,4,1
7,12,4,1
5,15,3,1
5,17,3,1
7,15,5,1
7,17,5,1
5,20,3,1
5,22,4,1
7,20,5,1
7,22,5,1
5,25,3,1
5,27,3,1
7,25,4,1
7,27,3,1
5,30,2,1
5,32,4,1
7,30,1,1
7,32,2,1
10,0,5,1
10,2,4,1
12,0,3,1
12,2,4,1
10,5,5,1
10,7,5,1
12,5,3,1
12,7,3,1
10,10,5,1
10,12,4,1
12,10,3,1
12,12,5,1
10,15,5,1
10,17,5,1
12,15,2,1
12,17,2,1
10,20,3,1
10,22,5,1
12,20,4,1
12,22,5,1
10,25,5,1
10,27,5,1
12,25,5,1
12,27,3,1
10,30,2,1
10,32,5,1
12,30,5,1
12,32,5,1
15,0,3,1
15,2,5,1
17,0,5,1
17,2,1,1
15,5,5,1
15,7,5,1
17,5,5,1
17,7,4,1
15,10,3,1
15,12,5,1
17,10,1,1
17,12,5,1
15,15,5,1
15,17,4,1
17,15,5,1
17,17,5,1
15,20,2,1
15,22,5,1
17,20,5,1
17,22,3,1
15,25,4,1
15,27,5,1
17,25,4,1
17,27,5,1
15,30,3,1
15,32,3,1
17,30,3,1
17,32,5,1
20,0,5,1
20,2,2,1
22,0,5,1
22,2,4,1
20,5,3,1
20,7,3,1
22,5,5,1
22,7,3,1
20,10,5,1
20,12,5,1
22,10,3,1
22,12,3,1
20,15,4,1
20,17,2,1
22,15,5,1
22,17,5,1
20,20,3,1
20,22,3,1
22,20,4,1
22,22,3,1
20,25,5,1
20,27,3,1
22,25,5,1
22,27,3,1
20,30,2,1
20,32,4,1
22,30,5,1
22,32,4,1
25,0,5,1
25,2,5,1
27,0,3,1
27,2,3,1
25,5,4,1
25,7,5,1
27,5,3,1
27,7,5,1
25,10,2,1
25,12,5,1
27,10,4,1
27,12,4,1
25,15,5,1
25,17,3,1
27,15,2,1
27,17,2,1
25,20,5,1
25,22,5,1
27,20,5,1
27,22,2,1
25,25,5,1
25,27,5,1
27,25,4,1
27,27,5,1
25,30,3,1
25,32,5,1
27,30,3,1
27,32,5,1
30,0,5,1
30,2,5,1
32,0,4,1
32,2,5,1
30,5,3,1
30,7,3,1
32,5,5,1
32,7,5,1
30,10,5,1
30,12,3,1
32,10,5,1
32,12,2,1
30,15,3,1
30,17,5,1
32,15,5,1
32,17,5,1
30,20,5,1
30,22,4,1
32,20,4,1
32,22,5,1
30,25,2,1
30,27,3,1
32,25,5,1
32,27,5,1
30,30,5,1
30,32,4,1
32,30,2,1
32,32,5,1
